Admin,Active,Semi-Active,Inactive
Scott5114,0,1,0
ScottDavis,0,1,0
ScottishFinnishRadish,1,0,0
Sdkb,1,0,0
Sdrqaz,1,0,0
Seattle Skier,0,1,0
SebastianHelm,0,1,0
Secretlondon,0,1,0
Seddon,0,1,0
Sennecaster,1,0,0
Ser Amantio di Nicolao,1,0,0
Ser!,1,0,0
Seraphimblade,1,0,0
Sergecross73,1,0,0
Sesel,1,0,0
Sgeureka,0,1,0
Shanes,0,1,0
Shirt58,1,0,0
Shoeofdeath,0,1,0
Shubinator,0,1,0
Shyamal,1,0,0
Significa liberdade,1,0,0
SilkTork,1,0,0
SilverLocust,1,0,0
SimonP,0,1,0
Sir Sputnik,1,0,0
Sj,1,0,0
Sjakkalle,0,1,0
Sjb72,0,1,0
Sky Harbor,1,0,0
Slakr,1,0,0
Slambo,0,0,1
Slon02,0,1,0
Slp1,1,0,0
Smartse,1,0,0
Smasongarrison,1,0,0
Smith609,0,0,1
Smurrayinchester,1,0,0
Snowolf,0,1,0
SoWhy,0,1,0
Sohom Datta,1,0,0
SouthernNights,1,0,0
SpacemanSpiff,0,1,0
Spartaz,1,0,0
Spellcast,0,0,1
Spencer,1,0,0
Sphilbrick,1,0,0
Spicy,0,0,1
SpuriousQ,0,0,1
Sro23,0,0,1
Star Mississippi,1,0,0
Starblind,0,1,0
Stephan Schulz,0,1,0
Stephen,1,0,0
Steven Walling,0,1,0
Stifle,1,0,0
Stwalkerster,1,0,0
Sundar,0,1,0
SuperMarioMan,1,0,0
Swarm,0,0,1
Swatjester,1,0,0
TFA Protector Bot,1,0,0
TParis,1,0,0
Tabercil,0,1,0
TadejM,1,0,0
Tariqabjotu,0,1,0
Tassedethe,1,0,0
Tavix,1,0,0
Tawker,0,1,0
Tcncv,0,1,0
TeaDrinker,0,1,0
Tedder,1,0,0
TenOfAllTrades,0,1,0
ThadeusOfNazereth,1,0,0
The Anome,1,0,0
The Blade of the Northern Lights,1,0,0
The Bushranger,1,0,0
The Cunctator,1,0,0
The Earwig,1,0,0
The Interior,0,1,0
The JPS,0,1,0
The Moose,0,1,0
The Tom,0,1,0
The Wordsmith,0,0,1
The ed17,1,0,0
The wub,1,0,0
The4lines,1,0,0
TheCatalyst31,1,0,0
TheSandBot,1,0,0
TheSandDoctor,1,0,0
Theleekycauldron,1,0,0
TheresNoTime,0,1,0
Thryduulf,1,0,0
Thumperward,0,1,0
TigerShark,1,0,0
Tim Ivorson,0,1,0
Tim Starling,0,1,0
Timotheus Canens,0,0,1
Timrollpickering,1,0,0
Timwi,0,1,0
Titodutta,1,0,0
ToBeFree,1,0,0
Toadspike,1,0,0
Toby Bartels,0,1,0
Tom Morris,1,0,0
Tom harrison,0,0,1
TomStar81,0,0,1
Tone,1,0,0
Trappist the monk,1,0,0
Trialpears,1,0,0
Trialsanderrors,0,1,0
TunnelESON,0,1,0
Tyrol5,0,1,0
Tóraí,0,0,0
U193581,0,1,0
Ucucha,1,0,0
Uncle G,0,1,0
UndercoverClassicist,1,0,0
UninvitedCompany,0,1,0
Urhixidur,0,1,0
Useight,0,1,0
Utcursch,1,0,0
Vacant0,1,0,0
Valereee,1,0,0
Valfontis,0,1,0
Valley2city,0,1,0
Vanamonde93,1,0,0
Vanjagenije,1,0,0
Vary,0,0,1
VegaDark,0,1,0
VernoWhitney,0,1,0
Verrai,1,0,0
Versageek,0,1,0
Victuallers,1,0,0
Visviva,0,1,0
Voice of Clam,0,1,0
Voorts,1,0,0
Vsmith,1,0,0
WOSlinker,1,0,0
Waggers,1,0,0
Waldyrious,0,1,0
Waltpohl,0,0,1
Warofdreams,1,0,0
Wbm1058,1,0,0
Wehwalt,1,0,0
WereSpielChequers,1,0,0
Whpq,1,0,0
Widr,0,1,0
Wikiacc,0,0,1
Willking1979,0,1,0
Wizardman,1,0,0
Woohookitty,1,0,0
Writ Keeper,1,0,0
Wtmitchell,1,0,0
Wugapodes,0,1,0
Wwoods,0,1,0
X!,0,1,0
Xaosflux,1,0,0
Xeno,0,0,1
Xezbeth,0,1,0
Xymmax,0,0,1
Y,0,1,0
Yamaguchi先生,0,0,0
Yamla,1,0,0
Yaris678,0,1,0
Ymblanter,1,0,0
Ynhockey,0,1,0
Yue,1,0,0
Z1720,1,0,0
Zanimum,1,0,0
Zero0000,1,0,0
Zippy,0,1,0
Zsinj,0,1,0
Zzuuzz,1,0,0
Zzyzx11,1,0,0
